type,properties/name,properties/description,properties/links/0/siteName,properties/links/0/link,properties/links/1/siteName,properties/links/1/link,properties/links/2/siteName,properties/links/2/link,properties/links/3/siteName,properties/links/3/link,geometry/type,geometry/coordinates/0,geometry/coordinates/1,properties/links/4/siteName,properties/links/4/link
Feature,Michigan Island (old),"This light was built in 1857 in this location by accident--the contractor was supposed to build a light at LaPointe instead. It isn't clear whose mistake resulted in the light being built on Michigan Island, but the contractor ended up building a second lighthouse--this time in the LaPointe location. Terry Pepper's site (see the first link) offers a good argument for the innocence of the contractor and either a mistake or deliberate misinformation on the part of the Lighthouse Board. The Michigan Island light was either never put into comission or used for only one season. When the government finally decided to use it eight years later, the lighthouse was declared too short. Managed by Apostle Islands National Lakeshore, this light is open to public tours in season.       ",National Park Service,http://nps.gov/apis/historyculture/michigan-lights.htm,Lighthouse Friends,http://lighthousefriends.com/light.asp?ID=693,Terry Pepper,http://terrypepper.com/lights/superior/michigan_old/index.htm,BoatNerd,http://lighthouse.boatnerd.com/gallery/Superior/MichiganIsland.htm,Point,-90.49686043073015,46.87109466368251,,http://wisconsincoastalguide.org
Feature,Milwauke Breakwater,"Built in 1926, this light is mounted on a two-story keeper's quarters. It is constructed of quarter-inch steel plates over a steel skeleton, with window glass a half-inch thick. It was fullly automated in the 1960s, when the two-man crews were no longer needed. The U.S. Coast Guard owns and manages the site, and it is not open to the public. It is accessible only by boat, and the breakwater is not connected to the shore.       ",Lighthouse Friends,http://lighthousefriends.com/light.asp?ID=243,Terry Pepper,http://terrypepper.com/lights/michigan/milwbreakwtr/milwbreakwtr.htm,BoatNerd,http://lighthouse.boatnerd.com/gallery/Michigan/milwaukee-break.htm,,http://wisconsincoastalguide.org,Point,-87.88188057273909,43.02687924680849,,
Feature,Milwaukee Pierhead,"The Milwaukee Pierhead Light was built in 1906 and is currently active. It consists of a 42-foot red steel tower and is managed by the U.S. Coast Guard. It is accessible from shore by walking the pier, but the tower is closed to visitors.       ",Lighthouse Friends,http://lighthousefriends.com/light.asp?ID=244,Terry Pepper,http://terrypepper.com/lights/michigan/milwpierhead/milwpierhead.htm,BoatNerd,http://lighthouse.boatnerd.com/gallery/Michigan/milwaukee-pier.htm,,http://wisconsincoastalguide.org,Point,-87.89531039676011,43.02593227609193,,
Feature,North Point,"The North Point Light Station was established in 1855, and this lighthouse was built in 1888 (raised onto a steel foundation in 1913). It consists of a 74-foot tower with attached two and one-half story keeper's house. From 1874 until her retirement in 1907, this light was tended by a widowed woman, Mrs. Georgia Stebbins. She took over her sick father's duties and became Acting Keeper of the North Point Light on April 2, 1881, and was promoted to full keeper on July 22. This is light has been inactive since 1994 and is now being restored by the North Point Lighthouse Friends. The lighthouse is located in Milwaukee's Lake Park, and is expected to be fully open for tours in spring of 2007. It is owned and managed by Milwaukee County Parks.       ",North Point Lighthouse,http://northpointlighthouse.org,Lighthouse Friends,http://lighthousefriends.com/light.asp?ID=245,Terry Pepper,http://terrypepper.com/lights/michigan/northpoint/northpoint.htm,BoatNerd,http://lighthouse.boatnerd.com/gallery/Michigan/northpoint.htm,Point,-87.87138100322466,43.06554818490398,,http://wisconsincoastalguide.org
Feature,Outer Island,"The Outer Island Lighthouse is stationed at the most remote point of the Apostle Islands chain. As the Duluth Harbor became increasingly active, the Apostle Islands were a significant hazard to mariners navigating across Superior from the Keweenaw. This light was built in 1874 and remains active. It consists of a 90-foot brick tower attached to a two and one-half story brick keeper's house. Two separate fog signal buildings were combined into one structure (still standing) in 1900. Shoreline erosion threatened the structures severely enough that the lighthouse was placed on the Lighthouse Digest's Doomsday List in 2000. Work is currently underway on shore stabilization, and it is scheduled to be completed in 2007. The stabilization project may close the buildings and dock at times, but the lighthouse is open for guided tours during the summer.       ",National Park Service,http://nps.gov/apis/historyculture/outer-light.htm,Lighthouse Friends,http://lighthousefriends.com/light.asp?ID=692,Terry Pepper,http://terrypepper.com/lights/superior/outer/index.htm,BoatNerd,http://lighthouse.boatnerd.com/gallery/Superior/OuterIsland.htm,Point,-90.41678385589806,47.07665954690359,,http://wisconsincoastalguide.org
Feature,Peshtigo Reef,This 72-foot steel tower was built in 1936 and remains active. It is managed by the U.S. Coast Guard and is accessible only by boat. Both the site and tower are closed to the public.       ,Lighthouse Friends,http://lighthousefriends.com/light.asp?ID=633,Terry Pepper,http://terrypepper.com/lights/michigan/peshtigo/index.html,,http://wisconsincoastalguide.org,,,Point,-87.579,44.9538,,
Feature,Pilot Island,"This light was initially built on Plum Island in 1846 and then rebuilt in 1858 in its present location on Pilot Island. The 41-foot brick tower is mounted on a two-story brick keeper's house. In 1864 a fog signal was added, and in 1904 the keeper's quarters were enlarged to provide separate residences for the keeper and the first assistant. Although the light is still active and owned by the U.S. Coast Guard (and managed by the U.S. Fish and Wildlife Service), the site is abandoned widely reported as overrun with many cormorants and seagulls. It is only accessible via private boat, except during the Door County Lighthouse Walk each year in May, when special excursions are offered to view the island by boat.       ",Jacks Joint,http://jacksjoint.com/pilot.htm,Lighthouse Friends,http://lighthousefriends.com/light.asp?ID=640,Terry Pepper,http://terrypepper.com/lights/michigan/pilotisland,BoatNerd,http://lighthouse.boatnerd.com/gallery/Michigan/PilotIsland.htm,Point,-86.91956541072686,45.28438460032042,,http://wisconsincoastalguide.org
Feature,Plum Island Rear Range,The Plum Island Rear Range Light was built in 1897 and is still active. It consists of a 65-foot white skeletal tower. The two-story brick keeper's house and Coast Guard station are now abandoned. Also on the island are the stone ruins of the 1846 lighthouse. Plum Island is only accessible by private boat.       ,Lighthouse Friends,http://lighthousefriends.com/light.asp?ID=641,Terry Pepper,http://terrypepper.com/lights/michigan/plumisland/plumisland.htm,BoatNerd,http://lighthouse.boatnerd.com/gallery/Michigan/plumisland.htm,,http://wisconsincoastalguide.org,Point,-86.95812409868431,45.30760753492196,,
Feature,Port Washington,"The first Port Washington Lighthouse was built in 1849, but it deteriorated quickly and had to be replaced in 1860. The current structure was built in 1860 and has been inactive since 1903. When the lighthouse was decomissioned, the U.S. Coast Guard leased the building to the Port Washington Historical Society, which has been using it as a museum ever since. In 2000, the government of Luxembourg offered to build a replacement light tower to honor Luxembourg citizens who emigrated to Port Washington and American servicemen who liberated Luxembourg in World War II. The museum is open for public tours during the summer and group tours may be scheduled at other times.       ",Port Washington Historical Society,http://portwashingtonhistoricalsociety.org/lightstation.htm,Lighthouse Friends,http://lighthousefriends.com/light.asp?ID=247,Terry Pepper,http://terrypepper.com/lights/michigan/portwashold/portwashold.htm,BoatNerd,http://lighthouse.boatnerd.com/gallery/Michigan/PortWashington-Old.htm,Point,-87.8677,43.391,,http://wisconsincoastalguide.org
Feature,Port Washington Breakwater,"This 58-foot white steel tower with gallery was built in 1935. It is active and maintained by the U.S. Coast Guard. It is accessible by walking the pier, but the tower is closed to the public.       ",Lighthouse Friends,http://lighthousefriends.com/light.asp?ID=248,Terry Pepper,http://terrypepper.com/lights/michigan/portwashpier/portwashpier.htm,BoatNerd,http://lighthouse.boatnerd.com/gallery/Michigan/PortWashingtonNew.htm,,http://wisconsincoastalguide.org,Point,-87.85966858745822,43.38525369565547,,
Feature,Pottawatomie (Rock Island),"The first lighthouse built in this site in 1836 was constructed with faulty mortar and torn down in 1858. The current lighthouse has been inactive since 1988, and the Friends of Rock Island have been restoring it since 1999. Tours are given by live-in docents during the summer months. Rock Island is only accessible by passenger ferry from Washington Island, which is accessible by car ferry from Northport.       ",DNR,http://dnr.wi.gov/wnrmag/html/stories/2000/feb00/lantern.htm,Lighthouse Friends,http://lighthousefriends.com/light.asp?ID=639,Terry Pepper,http://terrypepper.com/lights/michigan/pottawatomie/pottawatomie.htm,BoatNerd,http://lighthouse.boatnerd.com/gallery/Michigan/Pottawatomie.htm,Point,-86.82820976614566,45.4274839297354,,http://wisconsincoastalguide.org
Feature,Racine Breakwater,"This light, and its keeper's dwelling, marked the entrance to Racine Harbor. The tower is a 46-foot red steel skeletal structure. A United States Life Saving Service (USLSS) station was built behind the keeper's dwelling in 1883. Both buildings once served as USCG Station Racine, but are now privately owned. The light has been inactive since 1987. It is now lit at night at Racine's waterfront park.       ",Lighthouse Friends,http://lighthousefriends.com/light.asp?ID=241,Terry Pepper,http://terrypepper.com/lights/michigan/racine/racine.htm,BoatNerd,http://lighthouse.boatnerd.com/gallery/Michigan/RacineBW.htm,,http://wisconsincoastalguide.org,Point,-87.77198415300215,42.73457350221675,,
Feature,Racine Harbor (Root River),"The Racine Harbor lighthouse was built in 1866 and consists of a square cylindrical wood tower on a two and one-half story wood keeper's residence. It has been inactive since 1901 and has been used as the Racine Harbor Lifesaving Station and the Racine Coast Guard Station. When the station was closed, the building was sold to Pugh Marina. The site is open.       ",Lighthouse Friends,http://lighthousefriends.com/light.asp?ID=643,Terry Pepper,http://terrypepper.com/lights/michigan/root-river/root-river.htm,,http://wisconsincoastalguide.org,,,Point,-87.77826046413458,42.73406826026144,,
Feature,Racine Reef,This 50-foot white steel skeletal tower was built in 1961 and remains active. It replaced a Victorian-style lighthouse that was built in 1906 and demolished in 1961. The light is accessible only by boat and is closed to the public.       ,Lighthouse Friends,http://lighthousefriends.com/light.asp?ID=1607,Terry Pepper,http://terrypepper.com/lights/michigan/racine-reef/racine-reef.htm,BoatNerd,http://lighthouse.boatnerd.com/gallery/michigan/RacineReef.htm,,http://wisconsincoastalguide.org,Point,-87.73611670497175,42.72748962969956,,
Feature,Raspberry Island,"The Raspberry Island Lighthouse has been inactive since 1957 and is a popular site for visitors with as many as 10,000 people visiting the site each year. It was built in 1906 as a 35-foot wood tower rising from a two-story clapboard keeper's residence. The National Park Service has closed the building for restoration throughout 2006; it is expected to reopen for tours in summer of 2007. Raspberry Island is accessible only by boat.       ",National Park Service,http://nps.gov/apis/historyculture/raspberry-light.htm,Lighthouse Friends,http://lighthousefriends.com/light.asp?ID=690,Terry Pepper,http://terrypepper.com/lights/superior/raspberry/index.htm,BoatNerd,http://lighthouse.boatnerd.com/gallery/Superior/raspberryisland.htm,Point,-90.80500727582299,46.97045634211826,,http://wisconsincoastalguide.org
Feature,Rawley Point,"A brick tower built in 1874 at this site was incorporated into the keeper's house of the ""new"" lighthouse built in 1894. It is an active 111-foot white steel tower, with an attached 2 1/2-story brick keeper's house, which is used for Coast Guard personnel. The site is located within Point Beach State Forest and the grounds are open, but the tower is closed to the public.       ",Lighthouse Friends,http://lighthousefriends.com/light.asp?ID=252,Terry Pepper,http://terrypepper.com/lights/michigan/rawleypoint/rawleypoint.htm,BoatNerd,http://lighthouse.boatnerd.com/gallery/michigan/RawleyPt.htm,,http://wisconsincoastalguide.org,Point,-87.50893187895271,44.21059777180868,,
Feature,Sand Island,"The Sand Island Lighthouse was built in 1881 and is now currently active. It consists of a 40-foot octagonal sandstone tower with lantern and gallery that is attached to a 1 1/2-story keeper's house. In 1933, the Lighthouse Service built a 50-foot steel tower in front of the stone building, and placed the light on it. The light stayed on the metal tower for more than half a century, until 1985, when the Coast Guard returned it to the lighthouse and removed the metal tower. Managed by the Apostle Islands National Lakeshore, the lighthouse is open for tours during the summer. Sand Island is accessible only by boat.       ",National Park Service,http://nps.gov/apis/historyculture/sand-light.htm,Lighthouse Friends,http://lighthousefriends.com/light.asp?ID=689,Terry Pepper,http://terrypepper.com/lights/superior/sand/index.htm,BoatNerd,http://lighthouse.boatnerd.com/gallery/Superior/SandIsland.htm,Point,-90.93753587853807,47.00311325480494,,http://wisconsincoastalguide.org
Feature,Sheboygan Breakwater,"This tower was brought to its location in 1915 and is currently active. It is a 50-foot red steel tower that also serves as a NOAA National Data Buoy Center Station. It is located at the end of a breakwater that can be walked in good weather, but the tower is closed.       ",Lighthouse Friends,http://lighthousefriends.com/light.asp?ID=249,Terry Pepper,http://terrypepper.com/lights/michigan/sheboygan/sheboygan.htm,BoatNerd,http://lighthouse.boatnerd.com/gallery/Michigan/Sheboygan.htm,,http://wisconsincoastalguide.org,Point,-87.6926337227402,43.74944093568434,,
Feature,Sherwood Point,"Built in 1883, the Sherwood Point lighthouse was the last manned station on the Great Lakes. It is still active and today also serves as a private residence for U.S. Coast Guard personnel. It consists of a 37-foot brick tower attached to a 1 1/2-story church-style brick keeper's house. Visitors to the site are discouraged, but the site and tour are open during the Door County Lighthouse Walk in May.       ",Lighthouse Friends,http://lighthousefriends.com/light.asp?ID=636,Terry Pepper,http://terrypepper.com/lights/michigan/sherwoodpoint/sherwoodpoint.htm,BoatNerd,http://lighthouse.boatnerd.com/gallery/michigan/sherwoodpoint.htm,,http://wisconsincoastalguide.org,Point,-87.43349538773434,44.89269674749737,,
Feature,Sturgeon Bay Ship Canal,"This 98-foot tall active tower was initially built in 1899. However, it experienced serious wind vibration and needed to be reinforced with steel bracing in 1903. It consists of a 98-foot white steel tower with 2 two-and-one-half story keepers residences. The station is managed by the U.S. Coast Guard and serves as an active Coast Guard station. The site is open, and the tower is closed, except during the Door County Lighthouse Walk in May.       ",Lighthouse Friends,http://lighthousefriends.com/light.asp?ID=255,Terry Pepper,http://terrypepper.com/lights/michigan/sturgeoncanal/sturgeoncanal.htm,BoatNerd,http://lighthouse.boatnerd.com/gallery/michigan/SturgeonBay-Canal.htm,,http://wisconsincoastalguide.org,Point,-87.31323912467244,44.79493557003707,,
Feature,Sturgeon Bay Ship Canal Pierhead,"Built in 1903, this active light is located on the end of the breakwater. The tower consists of a one and one-half story steel fog signal building and a 40-foot cast iron tower. The entire structure was originally painted white but is now a bright red. The site is open to visitors, but the tower is closed.",Lighthouse Friends,http://lighthousefriends.com/light.asp?ID=256,Terry Pepper,http://terrypepper.com/lights/michigan/sturgeonpier/sturgeonpier.htm,BoatNerd,http://lighthouse.boatnerd.com/gallery/michigan/sturgeonbay-north.htm,,http://wisconsincoastalguide.org,Point,-87.30943805488887,44.7920178459018,,
Feature,Two Rivers,"This light tower was built in 1886 and rebuilt in 1928. It consists of a 36-foot wood tower without a keeper's house. (The keeper lived at the Rawley Point lighthouse.) The lighthouse was relocated in 1975 by the Two Rivers Historical Society for the Rogers Street Fishing Village, which serves as a museum and heritage park. The lighthouse is open for tours (admission fee is required to enter the village) from May to October, and for group tours by appointment.",Lighthouse Friends,http://lighthousefriends.com/light.asp?ID=251,Terry Pepper,http://terrypepper.com/lights/michigan/tworivers/tworivers.htm,BoatNerd,http://lighthouse.boatnerd.com/gallery/Michigan/tworivers.htm,,http://wisconsincoastalguide.org,Point,-87.56237609859942,44.15307974731336,,
Feature,Wind Point,"Built in 1880, the Wind Point Lighthouse is an active 108-foot brick tower. It is owned and managed by the Village of Wind Point. The grounds are open as a park, and tours are given of the lighthouse on the first Sunday in July, August, and September. There is an admission fee, and reservations are suggested. See the Wind Point Web site for more details.",Lighthouse Friends,http://lighthousefriends.com/light.asp?ID=242,Terry Pepper,http://terrypepper.com/lights/michigan/windpoint/windpoint.htm,BoatNerd,http://lighthouse.boatnerd.com/gallery/Michigan/windpoint.htm,,http://wisconsincoastalguide.org,Point,-87.75840142136855,42.78116300012345,,
Feature,Wisconsin Point (Superior Harbor Breakwater),"Built in 1913, the Wisconsin Point Lighthouse is an active light station combined with a fog signal building.",Lighthouse Friends,http://lighthousefriends.com/light.asp?ID=262,Terry Pepper,http://terrypepper.com/lights/superior/wiscpoint/wiscpoint.htm,BoatNerd,http://lighthouse.boatnerd.com/gallery/Superior/WisconsinPt.htm,,http://wisconsincoastalguide.org,Point,-92.00639473625007,46.71022004261616,,
