type,properties/name,properties/description,properties/link,geometry/type,geometry/coordinates/0,geometry/coordinates/1
Feature,Pattison State Park Nature Center,"The 1,436-acre Pattison State Park offers the highest waterfalls in Wisconsin and the fourth highest waterfall east of the Rocky Mountains. It also features a lake with a beach, nature programs and guided hikes, camping, and 9 miles of hiking trails.",http://dnr.wi.gov/org/land/parks/specific/pattison/,Point,-92.120733,46.535736
Feature,Northern Great Lakes Visitors Center,"The Center features a regional History Center and Archives, gift shop, art gallery, theater, and a five-story observation tower offering a panoramic view of Lake Superior and the Apostle Islands Region.",http://www.northerngreatlakescenter.org/,Point,-90.963518,46.582037
Feature,Art and Nature Center,"Located in an old schoolhouse, the Art and Nature Center, has an art gallery which features the work of local artists. The nature room holds an observation beehive, geologic history of the island and weather phenomena displays, and information about fish, birds and wildlife of the area. A naturalist leads hikes.",http://www.washingtonislandchamber.com/recreation.html#Anchor-Art-7431,Point,-86.93144,45.394401
Feature,Bjorklunden Seminars,"This 425-acre estate on Lake Michigan includes more than a mile of unspoiled waterfront , woods, and meadows.  The lodge holds seminars and retreats as well as musical events, and even small weddings.",http://www.lawrence.edu/dept/bjork/,Point,-87.125499,45.065702
Feature,The Ridges Sanctuary Nature Center,"Recognized as the most biologically diverse area in Wisconsin, the 1600-acre Ridges Sanctuary is also a National Natural Landmark. Naturalist-guided hikes depart from the nature center all year round.",http://www.ridgessanctuary.org/,Point,-87.11935,45.07449
Feature,White Cedar Nature Center,"Peninsula's White Cedar Nature Center is filled with nostalgic photos, taxidermy birds and mammals, a huge light-up map of the park, and a stuffed black bear. Hikes, nature crafts, outdoor skills workshops and more are scheduled throughout the year.",http://dnr.wi.gov/org/land/parks/specific/peninsula/nature/center.html,Point,-87.238902,45.133646
Feature,Bay Beach Wildlife Sanctuary,"The Bay Beech Wildlife Sanctuary is a 700-acre urban wildlife refuge which features 6 miles of trails, wildlife exhibits, and a Nature Education Center.  Open all year with free admission.",http://www.baybeachwildlife.com/,Point,-87.978123,44.529151
Feature,Green Bay Botanical Garden,Over 47 acres of gardens and natural areas open to the public year round.  Gardening classes and other educational programs are offered.,http://www.gbbg.org/,Point,-88.097301,44.531419
Feature,West Shores Interpretive Center,"Located within the L.H Barkhousen Waterfowl Preserve, a 920-acre preserve featuring forests, meadows, and wetlands, is the West Shores Interpretive Center.  It offers educational programs and hands on exhibits about the natural area.",http://www.co.brown.wi.us/departments/page_03513174fdfd/?department=cb643ee48c55&subdepartment=dadc284c6c54,Point,-88.038754,44.598602
Feature,Point Beach State Forest Nature Center,"Point Beach State Park offers 6 miles of Lake Michigan shoreline, with dunes, a lighthouse, camping, and hiking, biking, skiing, nature, and snowmobile trails.",http://dnr.wi.gov/org/land/parks/specific/pointbeach/,Point,-87.515953,44.209583
Feature,Woodland Dunes Nature Center,Woodland Dunes Nature Center is a 1200 acre nature preserve and bird sanctuary located between Manitowoc and Two Rivers.  Woodland dunes was designated a state natural area in 1992.,http://dnr.wi.gov/org/land/er/sna/index.asp?SNA=252,Point,-87.568378,44.15317
Feature,Elwood H May Environmental Park,"Ellwood H. May Environmental Park is a 135-acre site that is part of the City of Sheboygan park system and is open to the public, free of charge, year-round.",http://www.gomaywood.org/,Point,-87.756892,43.782561
Feature,Sanderling Nature Center,"Located in the northern area of Kohler-Andrea State Park, the Sanderling Nature Center offers displays of the park's wildlife, history, wildflowers, and more.  Atop the center is an observation deck overlooking Lake Michigan.",http://dnr.wi.gov/org/land/parks/specific/ka/naturalist.htm#nature%20center,Point,-87.723438,43.657937
Feature,Riveredge Nature Center,"370 acres of sanctuary and 10 miles of trails, which travel near ponds, praries, and the Milwaukee River, constitutes Riveredge Park. The nature center provides environmental education to learners of all ages.",http://www.riveredge.us/default.aspx?id=2,Point,-88.034249,43.43285
Feature,Boerner Botanical Gardens,"The Boerner Botanical Garden , located in Whitnall Park, offers 11 specialty gardens, tours, and many educational programs.",http://www.county.milwaukee.gov/BoernerBotanicalGard10113.htm,Point,-88.030696,42.937393
Feature,Falk Park,"Home to the Falk Pavilion, a venue for weddings and other events, Falk Park is part of the Milwaukee County Park System.",http://dnr.wi.gov/wnrmag/html/stories/2002/dec02/list.htm,Point,-87.941146,42.916128
Feature,Havenwoods Environmental Awareness Center,"Havenwoods State Forest offers 237-acres of grasslands, woods, and wetlands in the City of Milwaukee. There are over 6 miles of trails, four ponds, a 120-foot bridge, an education center, heritage gardens, and rain gardens.",http://www.dnr.wisconsin.gov/org/land/parks/specific/havenwoods/,Point,-87.967531,43.128963
Feature,Kneeland-Walker House and Victorian Gardens,"The Kneeland-Walker House and surrounding Victorian Gardens became the headquarters to the Wawatusa Historical Society in 1987. It is used for various educational programs, preservation work, archival storage, artifact displays, and community events.",http://www.wauwatosahistoricalsociety.org/,Point,-88.004937,43.055345
Feature,Martin Schreiber Nature Center,"This 23-acre nature center features steep bluffs, flood-plain hardwood forest, spring-fed wetland, and a restored prairie. There are five different habitats interconnected by a trail system.",http://www.milwaukeerecreation.net/hawthorn-glen/index.htm,Point,-87.987245,43.045178
Feature,Schlitz Audubon Nature Center,"Along the shore of Lake Michigan, this 185-acre park includes six miles of trails and a 60-foot observation tower.",http://www.schlitzauduboncenter.com/,Point,-87.895047,43.17639
Feature,Urban Ecology Center,The Urban Ecology Center is an environmental education and nonprofit community center. It has 15-acres of wooded land on the Milwaukee River and a lagoon.,http://www.urbanecologycenter.org/,Point,-87.89056,43.067537
Feature,Wehr Nature Center,"Located within Whitnall Park, the Wehr Nature Center consists of 220 acres and 5 natural communities; the Woodland, Wetland, Prairie, Oak Savanna and Lake. Environmental education programs and exhibits are offered in the Visitor Center as well as the outdoor amphitheater.",http://www.friendsofwehr.org/fow-wehrnaturecenter.html,Point,-88.035037,42.930097
Feature,YWCA River Bend Nature Center,"River Bend Nature Center is located on 80 acres of natural area along the banks of the Root River in Racine. It offers educational programs and seasonal events, as well as free hiking trails through the forests, fields, and wetlands.",http://www.riverbendracine.org/page1.aspx,Point,-88.035037,42.930097
Feature,Bong State Recreational Area,"Richard Bong State Recreation Area became the state's first recreation area in 1974.  The 4,515-acre area offers camping, 41 miles of trails, areas to fly model airplanes, rockets, hot air balloons, and hang gliders, as well as areas for training hunting and sled dogs.",http://dnr.wi.gov/org/land/parks/specific/bong/,Point,-88.124984,42.636531
Feature,Hawthore Hollow Nature Sanctuary and Arboretm,"This nonprofit nature sanctuary and arboretum offer 40 acres of terrain including two miles of trails, nature center with a classroom and gift shop, and a small amphitheater.",http://www.hawthornhollow.org/,Point,-87.876655,42.649264
Feature,Pringle Nature Center,"The Pringle Nature Center is located in Bristol Woods County Park, which contains 197 acres of forest, wetlands, paraires, and four miles of trails.",http://www.pringlenc.org/,Point,-88.000703,42.5315
Feature,Seno Woodland Education Center,"The Seno Woodland Education Center is 131 acres of forest, fields, prairie and wetlands located in southeast Wisconsin's rolling kettle morraine country.",http://www.senocenter.org/,Point,-88.303013,42.605107
