type,properties/name,properties/description,properties/links/description,properties/links/map,geometry/type,geometry/coordinates/0,geometry/coordinates/1
Feature,Brule River Boreal Forest,Brule River State Forest is a boreal forest in various stages of recovery that borders the Brule River. Rare animals in the area include the bald eagle.  Area is best seen by canoe,http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=160,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map160.pdf,Point,-91.6008,46.7218
Feature,Dwight's Point and Pokegama Wetlands,"Within the Superior Municipal Forest, Dwight's Point and Pokegama Wetlands features boreal forest, emergent marsh, and wet clay flats. Accessible by water, or various hiking, biking, skiing, and snowmobile trails.",http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=300,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map300.pdf,Point,-92.1492,46.6863
Feature,Bear Beach,"Bear Beach features several extensive stretches of undeveloped beach along the Lake Superior shore, west of the Brule River mouth.  Best seen by canoe.",http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=402,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map402.pdf,Point,-91.6722,46.7279
Feature,Pokegama Carnegie Wetlands,Pokegama Carnegie Wetlands features an extensive mosaic of wetland vegetation containing many rare plant species. It is situated on level clay flats between the Pokegama and Little Pokegama Rivers.,http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=516,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map516.pdf,Point,-92.1548,46.637
Feature,Bark Bay Slough,"Bark Bay Slough consists of a coastal barrier spit, lagoon, springs, and wetlands occupying an embayment between two rocky headlands along Lake Superior. Best explored by canoe.",http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=137,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map137.pdf,Point,-91.202,46.8527
Feature,Port Wing Boreal Forest,Port Wing Boreal Forest encompasses two areas of forest on sand spits inland from the present Lake Superior shoreline. It includes a 20-acre beach and dune complex along the shoreline.,http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=154,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map154.pdf,Point,-91.3847,46.7901
Feature,Lost Creek Bog,"Lost Creek Bog features a Lake Superior estuarine system at the drowned mouths of three small creeks (Lost Creek 1, 2, and 3) where they empty into Siskiwit Bay. Migratory waterfowl and other water birds make extensive use of the site.",http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=274,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map274.pdf,Point,-91.1299,46.8533
Feature,Houghton Falls,"Houghton Falls protects a picturesque pre-Cambrian sandstone gorge along the Lake Superior shore. The dramatic sandstone cliffs extend into the clear waters of Lake Superior, affording views of the Apostle Islands. Houghton Falls is owned by the Town of Bayview and was designated a State Natural Area in 2010.",http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=638,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map638.pdf,Point,-90.85933957394124,46.6947819192949
Feature,Big Bay Sand Spit and Bog,"Big Bay Sand Spit and Bog is located on an island in Lake Superior and features a long, curving bay mouth bar behind which lies a lagoon.  An extensive ""cord walk"" allows visitors to traverse the bay mouth bar without disturbing the sensitive vegetation.",http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=156,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map156.pdf,Point,-90.6846,46.8099
Feature,Apostle Islands Maritime Forest,"Apostle Islands Maritime Forests consists of portions of five islands (Sand Island, Raspberry Island, Outer Island, Bear Island, and Devils Island) within the 21-island Apostle Islands archipelago.  Islands accessible only by water.",http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=266,,Point,-90.7665,47.0154
Feature,Apostle Islands Maritime Cliffs,"Two Lake Superior islands, Otter and Devils, within the Apostle Islands archipelago and an area of mainland, Mawikwe Bay, in Bayfield County all contain units of this State Natural Area. These unique sites feature exposed sandstone cliffs, sea caves, vaulted chambers, arches, and pillars.",http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=267,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map267.pdf,Point,-90.7034,47.0028
Feature,Apostle Islands Sandscapes,"The Apostle Islands Sandscapes State Natural Area was established in 1992 to recognize and protect a variety of unique sand-based landforms, including dunes, beaches, sand spits, cuspate forelands, and tombolos.  It is located within the Apostle Islands National Lakeshore on Raspberry, Rocky, Stockton and Outer Islands.",http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=268,http://dnr.wi.gov/topic/lands/naturalareas/documents/bookmaps/apostles_sandscape.pdf,Point,-90.5533,46.9273
Feature,Apostle Islands Yew Forest,"The Apostle Islands Yew Forest SNA is comprised of four islands that reflect complex disturbance histories ranging from pristine old-growth forest without a history of deer browse, to forests subjected to logging, fires, and extensive deer browse. The diversity of disturbance gradients and subsequent recovery of vegetation, including Canada Yew, will provide important scientific data on the ecology of these four unique islands. Apostle Islands Yew Forest is owned by the US Park Service and was designated a State Natural Area in 2010.",http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=639,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map639.pdf,Point,-90.68233050462506,47.02970187672462
Feature,Apostle Islands Critical Species,This natural area in Lake Superior consists of units on Eagle and Gull Islands within the Apostle Islands archipelago. It was designated to recognize critical nesting areas for gulls and colonial water birds.,http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=269,,Point,-90.4543,46.8952
Feature,Seagull Bar,Seagull Bar is a sand spit and marsh on the margin of Green Bay off the City of Marinette. It is an important area for migratory birds.  Seagull Bar was designated a State Natural Area in 1962.,http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=37,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map37.pdf,Point,-87.5809,45.0748
Feature,Bloch Oxbow and Pines,"The Bloch Oxbow and Pines 614-acre site borders the Peshtigo River.  The site serves as a reserve for northern forest, floodplain forest, as an aquatic reserve, and as an ecological reference area.",http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=234,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map234.pdf,Point,-87.6897,45.004
Feature,Peshtigo Harbor Lacustrine Forest,Peshtigo Harbor Lacustrine Forest represents one of the least disturbed and best remaining examples of the hardwood swamps along the west shore of Green Bay. It is located within Green Bay West Shores Wildlife Area.,http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=562,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map562.pdf,Point,-87.717934,44.989388
Feature,Peshtigo River Delta Marshes,Peshtigo River Delta Marshes is an extensive meadow and marsh complex.  The site borders the mouth of the Peshtigo River along the west shore of Green Bay.,http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=563,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map563.pdf,Point,-87.704887,44.978339
Feature,Charles Pond,"Charles Pond was designated a State Natural Area in 1965. At the time it was a bay mouth bar lake with a narrow outlet to Green Bay, but high water levels during the 1980's  destroyed all of the marshland and part of the forest.",http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=39,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map39.pdf,Point,-87.942123,44.76319
Feature,Baileys Harbor Boreal Forest and Wetlands,"Baileys Harbor Boreal Forest and Wetlands contains a unique and diverse landscape, influenced by the local climate along the northeastern coast of the Door Peninsula (cooler springs and summers, and warmer falls and winters).  The 463-acre site was designated a State Natural Area in 1995.",http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=284,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map284.pdf,Point,-87.0583,45.1017
Feature,Bayshore Blufflands,Bayshore Blufflands is a complex site with a diversity of plant communities.  Trails provide access into and through the site.  It was designated a State Natural Area in 2002.,http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=377,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map377.pdf,Point,-87.381735,44.937707
Feature,Big and Little Marsh,"Located on Washington Island, off the tip of the Door County peninsula, the site harbors numerous rare species. Included within the natural area is 200 feet of the Lake Michigan shoreline.",http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=391,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map391.pdf,Point,-86.8664,45.3685
Feature,Cave Point-Clay Banks (Shivering Sands Unit),"Cave Point-Clay Banks is an extensive complex of coastal wetlands that supports many unique plants and animals.  Kellner Fen, Shivering Sands, and Sturgeon Bay comprise the State Natural Area along the shore of Lake Michigan.",http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=559,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map559b.pdf,Point,-87.255049,44.864873
Feature,Cave Point-Clay Banks (Sturgeon Bay Canal Unit),"Cave Point-Clay Banks is an extensive complex of coastal wetlands that supports many unique plants and animals.  Kellner Fen, Shivering Sands, and Sturgeon Bay comprise the State Natural Area along the shore of Lake Michigan.",http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=559,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map559b.pdf,Point,-87.31820559803329,44.79326670123628
Feature,Coffey Swamp,Coffey Swamp occupies a former embayment of Lake Michigan along the northern coast of Washington Island. It was designated a State Natural Area in 1994.,http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=276,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map276.pdf,Point,-86.8896,45.4014
Feature,Detroit Harbor,"Detroit Harbor State Natural Area features a diverse complex of wetlands that support numerous rare species. The natural area also includes Richter Bayou, which is a significant smallmouth bass nursery. The site was designated a State Natural Area in 2005.",http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=413,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map413.pdf,Point,-86.9256,45.3365
Feature,Ellison Bluff,Ellison Bluff features a densely wooded two-tiered rock terrace. One cedar was determined to be 250 years old.  View the site from an observation deck or on the hiking trails.,http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=378,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map378.pdf,Point,-87.1044,45.256
Feature,Europe Bay Woods,Europe Bay Woods is located on an undeveloped isthmus between Lake Michigan and Europe Lake.  It is accessible via the Hotz and Europe Bay hiking trails.,http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=379,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map379.pdf,Point,-86.9861,45.2644
Feature,Jackson Harbor Ridges,"Situated on Washington Island off the tip of the Door Peninsula, Jackson Harbor Ridges contains several coastal plant communities and a rich flora of rare and uncommon plants. It was designated a State Natural Area in 1973.",http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=110,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map110.pdf,Point,-86.8502,45.3964
Feature,Little Lake,"The shallow, 24-acre Little Lake is the only inland lake located on Washington Island. Located within 250 feet of Lake Michigan, Little Lake's present water level rises about 3 feet above it. The area was once home to a large village of Native Americans and hosts a Native American burial ground.",http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=554,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map554.pdf,Point,-86.941381,45.410141
Feature,Marshall's Point,Marshall's Point is located along the Door Peninsula and includes 2000 feet of Lake Michigan shoreline. Public access is restricted due to the sensitive nature of the site.,http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=204,,Point,-87.0358,45.1455
Feature,Meridian Park,Meridian Park is situated on an isthmus of sand between the south end of Kangaroo Lake and Lake Michigan. The site contains a diverse set of natural features including mile-long 50-to-60 feet high sand dunes.,http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=544,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map544.pdf,Point,-87.1594,45.0098
Feature,Mink River Estuary,The Mink River Estuary is one of the most pristine freshwater estuaries in the country. The natural area contains diverse vegetation and animal species.  It was designated a State Natural Area in 1988.,http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=218,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map218.pdf,Point,-87.0476,45.246
Feature,Moonlight Bay Bedrock Beach,"Moonlight Bay Bedrock Beach protects a 5-acre undisturbed bedrock beach, rare plant and animal communities, geological features, and adjacent forest.  The 112-acre site was designated a SNA in 1990.",http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=233,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map233.pdf,Point,-87.072,45.0884
Feature,Mud Lake,"Mud Lake State Natural Area consists of a 155-acre shallow (maximum depth 5 feet) lake surrounded by an extensive swamp.  The site is a total of 1,190 acres that lies within the Mud Lake Wildlife Area.",http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=125,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map125.pdf,Point,-87.0939,45.1137
Feature,Newport Conifer-Hardwoods,"Newport Conifer Hardwoods features a mix of northern forest types along Lake Michigan near the northern tip of the Door Peninsula. About a quarter of a mile of frontage on Lake Michigan is included in the natural area, which was  designated a State Natural Area in 1971.",http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=90,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map90.pdf,Point,-86.9898,45.2229
Feature,North Bay,"North Bay features one of the last remaining undeveloped stretches of Lake Michigan shore on the Door Peninsula, with nearly one mile of uninterrupted lakeshore. It is an important habitat for numerous nesting birds, as well as game fish.",http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=381,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map381.pdf,Point,-87.0828,45.1507
Feature,Peninsula Park Beech Forest,"Access to the Peninsula Park Beech Forest is via the Sentinel Hiking Trail, which forms the northern boundary of the site.  This 80-acre site was  designated a State Natural Area in 1952.",http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=12,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map12.pdf,Point,-87.1982,45.1574
Feature,Peninsula Park White Cedar Forest,"Peninsula Park White Cedar Forest  is located within Peninsula State Park. The site features a one-acre open marsh, an open meadow on a lake dune, and a white cedar swamp.",http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=13,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map13.pdf,Point,-87.2373,45.1347
Feature,Rock Island Woods,Rock Island Woods is a 570-acre site located within Rock Island State Park. It features many rare plants and animals and a variety of forest types. No motor vehicles are allowed on the site.,http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=382,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map382.pdf,Point,-86.8179,45.4164
Feature,Sister Islands,"Sister Islands is an historic gull and tern nesting area consisting of two low, gravel islands. It is one of the important gulleries in Green Bay. It was designated a State Natural Area in 1966. Access by boat.",http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=47,,Point,-87.1451,45.2234
Feature,The Ridges Sanctuary,"The Ridges Sanctuary encompasses a diversity of unusual habitats, resulting in one of the greatest concentrations of rare plants in the Midwest.  It is recognized as a National Natural Landmark, and was designated a State Natural Area in 1953.",http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=17,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map17.pdf,Point,-87.1051,45.0867
Feature,Toft Point,"Toft Point is situated on a 1-mile-wide peninsula along Door County's Lake Michigan coast. The natural area is bordered on the north by Moonlight Bay, and on the south by Baileys Harbor. The site is recognized as a National Natural Landmark and was designated a State Natural Area in 1967.",http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=57,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map57.pdf,Point,-87.0888,45.0698
Feature,White Cliff Fen and Forest,"White Cliff Fen and Forest features a deep, undisturbed forest. The area lies less than Â½ mile from Green Bay. Access via trials or the nearby boat launch.",http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=383,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map383.pdf,Point,-87.2761,45.0705
Feature,Whitefish Dunes,Whitefish Dunes State Natural Area preserves the largest and most significant Great Lakes dunescape in Wisconsin. The site contains a rich flora particularly adapted to this dynamic habitat. It was designated a State Natural Area in 1980.,http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=175,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map175.pdf,Point,-87.1966,44.925
Feature,Red Banks Alvar,Red Banks Alvar contains one of the most diverse land snail communities known in the Midwest and is one of the most important areas in Wisconsin for snails. The site is situated on flat bedrock with very shallow soils.,http://dnr.wi.gov/org/land/er/sna/index.asp?SNA=332,http://dnr.wi.gov/org/land/er/sna/PDF_topo/map332.pdf,Point,-87.848168,44.606118
Feature,Wilderness Ridge,Wilderness Ridge is a T-shaped area that features a cross section of Glacial Lake Nippissing-aged beach ridges. This 8-acre site was designated a State Natural Area in 1953.,http://dnr.wi.gov/org/land/er/sna/index.asp?SNA=24,http://dnr.wi.gov/org/land/er/sna/PDF_topo/map24.pdf,Point,-87.512402,44.207715
Feature,Two Creeks Buried Forest,"Two Creeks Buried Forest is a unit of the Ice Age National Scientific Reserve and has been a popular study site for North American geologists, botanists, glacial ecologists and climatologists. It was designated a State Natural Area in 1967.",http://dnr.wi.gov/org/land/er/sna/index.asp?SNA=50,http://dnr.wi.gov/org/land/er/sna/PDF_topo/map50.pdf,Point,-87.544685,44.327256
Feature,Point Beach Ridges,Point Beach Ridges features 11 alternating ridges and swales that are parallel to the present Lake Michigan shoreline. The endangered sand dune willow is found here at its only known Wisconsin location.,http://dnr.wi.gov/org/land/er/sna/index.asp?SNA=87,http://dnr.wi.gov/org/land/er/sna/PDF_topo/map87.pdf,Point,-87.543402,44.167659
Feature,Woodland Dunes,"Woodland Dunes features a series of narrow, parallel sand ridges.  The site, with its variety of habitats and proximity to Lake Michigan, is used by a great diversity of birds. Trails run through the site.",http://dnr.wi.gov/org/land/er/sna/index.asp?SNA=252,http://dnr.wi.gov/org/land/er/sna/PDF_topo/map252.pdf,Point,-87.607643,44.13636
Feature,LTC Old-Growth Forest,LTC Old Growth Forest protects a small remnant of old-growth northern mesic forest on the Cleveland campus of Lakeshore Technical College. Centerville Creek flows through the property from west to east and divides the property in two pieces. The northern half of the site is dominated by sugar maple and American beech. The southern part of the site is situated in the floodplain of Centerville Creek and contains several prominent oxbows and ephemeral vernal pools. LTC Old-Growth Forest is owned by the Lakeshore Technical College and was designated a State Natural Area in 2011.,http://dnr.wi.gov/topic/Lands/naturalareas/index.asp?SNA=653,http://dnr.wi.gov/topic/lands/naturalareas/documents/topomaps/map653.pdf,Point,-87.74923314701006,43.9267871291853
Feature,Cedar Grove Hawk Research Station,"Cedar Grove Hawk Research Station is located on a 1,000-foot-wide beach of former glacial Lake Algonquin. It has been used as a trapping and banding station for more than 50 years. It was designated a State Natural Area in 1952.",http://dnr.wi.gov/org/land/er/sna/index.asp?SNA=8,,Point,-87.790238,43.570275
Feature,Kohler Park Dunes,"Embracing the shore of Lake Michigan, Kohler Park Dunes contains lake dunes,  wetlands, and a small white pine forest. More than one mile of Lake Michigan beach is included in the natural area, which was designated in 1969.",http://dnr.wi.gov/org/land/er/sna/index.asp?SNA=71,http://dnr.wi.gov/org/land/er/sna/PDF_topo/map71.pdf,Point,-87.71861,43.666015
Feature,Fairy Chasm,"Fairy Chasm features an 80-100 foot deep chasm that is cut by Fish Creek, a small, fast-flowing, stream. The site was designated in 1968. Access is by permission only.",http://dnr.wi.gov/org/land/er/sna/index.asp?SNA=67,,Point,-87.899294,43.197887
Feature,Warnimont Bluff Fens,Warnimont Bluff Fens features wetlands situated on 100 foot high clay banks along the Lake Michigan shore. It is an important site for research and education. It was designated a State Natural Area in 2002.,http://dnr.wi.gov/org/land/er/sna/index.asp?SNA=352,,Point,-87.848439,42.938313
Feature,Chiwaukee Prairie,"The natural area consists of two parts, separated by 116th Street. The southern portion is a large, contiguous prairie area; the northern part  consists of prairie fragmented by roads and scattered homes. It is one of the largest prairie complexes in the state and the most intact coastal wetland in southeastern Wisconsin.",http://dnr.wi.gov/org/land/er/sna/index.asp?SNA=54,http://dnr.wi.gov/org/land/er/sna/PDF_topo/map54.pdf,Point,-87.813914,42.525042
